date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:27	60515/60515	---M-Z	200	added ('OK')	text/html	etag:%22406a50d-ec63-56394352cee80-gzip%22	http://nayrathemes.com/demo/html/startkit/	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/index.html	(from )
11:16:55	428/428	---M--	503	error ('Service%20Unavailable')	text/html	date:Wed,%2010%20Jul%202019%2005:45:28%20GMT	http://nayrathemes.com/robots.txt		(from )
11:16:59	5803/5803	---M--	200	added ('OK')	image/png	etag:%22406a551-16ab-55e6b22911b80%22	http://nayrathemes.com/demo/html/startkit/assets/img/favicon.png	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/img/favicon.png	(from http://nayrathemes.com/demo/html/startkit/)
11:17:00	4746/4746	---M--	200	added ('OK')	text/css	etag:%22406a529-128a-560b5fed0d800%22	http://nayrathemes.com/demo/html/startkit/assets/css/responsive.css	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/css/responsive.css	(from http://nayrathemes.com/demo/html/startkit/)
11:17:02	9446/9446	---M--	200	added ('OK')	text/css	etag:%22406a518-24e6-560b4d0804400%22	http://nayrathemes.com/demo/html/startkit/assets/css/colors/default.css	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/css/colors/default.css	(from http://nayrathemes.com/demo/html/startkit/)
11:17:03	9584/9584	---M--	200	added ('OK')	text/css	etag:%22406a51b-2570-5639333536900%22	http://nayrathemes.com/demo/html/startkit/assets/css/colors/default2.css	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/css/colors/default2.css	(from http://nayrathemes.com/demo/html/startkit/)
11:17:04	9584/9584	---M--	200	added ('OK')	text/css	etag:%22406a51d-2570-5639336e6f000%22	http://nayrathemes.com/demo/html/startkit/assets/css/colors/default4.css	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/css/colors/default4.css	(from http://nayrathemes.com/demo/html/startkit/)
11:17:05	9584/9584	---M--	200	added ('OK')	text/css	etag:%22406a51f-2570-5639340334f00%22	http://nayrathemes.com/demo/html/startkit/assets/css/colors/default6.css	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/css/colors/default6.css	(from http://nayrathemes.com/demo/html/startkit/)
11:17:06	9584/9584	---M--	200	added ('OK')	text/css	etag:%22406a521-2570-56393430fbb00%22	http://nayrathemes.com/demo/html/startkit/assets/css/colors/default8.css	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/css/colors/default8.css	(from http://nayrathemes.com/demo/html/startkit/)
11:17:07	9580/9580	---M--	200	added ('OK')	text/css	etag:%22406a51a-256c-564459fad2980%22	http://nayrathemes.com/demo/html/startkit/assets/css/colors/default10.css	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/css/colors/default10.css	(from http://nayrathemes.com/demo/html/startkit/)
11:17:08	60515/60515	---M-Z	200	added ('OK')	text/html	etag:%22406a50d-ec63-56394352cee80-gzip%22	http://nayrathemes.com/demo/html/startkit/index.html	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/index-2.html	(from http://nayrathemes.com/demo/html/startkit/)
11:17:09	33993/33993	---M-Z	200	added ('OK')	text/html	etag:%22406a5ed-84c9-564458310f180-gzip%22	http://nayrathemes.com/demo/html/startkit/about-us.html	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/about-us.html	(from http://nayrathemes.com/demo/html/startkit/)
11:17:11	35385/35385	---M-Z	200	added ('OK')	text/html	etag:%22406a50e-8a39-5644587000600-gzip%22	http://nayrathemes.com/demo/html/startkit/portfolio-2-column.html	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/portfolio-2-column.html	(from http://nayrathemes.com/demo/html/startkit/)
11:17:12	44053/44053	---M-Z	200	added ('OK')	text/html	etag:%22406a510-ac15-5644587f42a00-gzip%22	http://nayrathemes.com/demo/html/startkit/portfolio-4-column.html	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/portfolio-4-column.html	(from http://nayrathemes.com/demo/html/startkit/)
11:17:13	36991/36991	---M-Z	200	added ('OK')	text/html	etag:%22406a50c-907f-564458685f400-gzip%22	http://nayrathemes.com/demo/html/startkit/gallery.html	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/gallery.html	(from http://nayrathemes.com/demo/html/startkit/)
11:17:14	36843/36843	---M-Z	200	added ('OK')	text/html	etag:%224060085-8feb-56445849dac00-gzip%22	http://nayrathemes.com/demo/html/startkit/blog-left-sidebar.html	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/blog-left-sidebar.html	(from http://nayrathemes.com/demo/html/startkit/)
11:17:15	32141/32141	---M-Z	200	added ('OK')	text/html	etag:%22406a50a-7d8d-5644585734b80-gzip%22	http://nayrathemes.com/demo/html/startkit/blog-single.html	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/blog-single.html	(from http://nayrathemes.com/demo/html/startkit/)
11:17:17	5149/5149	---M--	200	added ('OK')	image/png	etag:%22406a576-141d-55e42ceaf4a00%22	http://nayrathemes.com/demo/html/startkit/assets/img/homepage/recent/recentimg01.png	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/img/homepage/recent/recentimg01.png	(from http://nayrathemes.com/demo/html/startkit/)
11:17:21	4019/4019	---M--	200	added ('OK')	image/png	etag:%22406a5d4-fb3-55e851dbadc80%22	http://nayrathemes.com/demo/html/startkit/assets/img/portfolio-hover.png	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/img/portfolio-hover.png	(from http://nayrathemes.com/demo/html/startkit/)
11:17:23	25105/25105	---M--	200	added ('OK')	image/jpeg	etag:%22406a56d-6211-55e42cf47e080%22	http://nayrathemes.com/demo/html/startkit/assets/img/homepage/portfolio/portfolio01.jpg	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/img/homepage/portfolio/portfolio01.jpg	(from http://nayrathemes.com/demo/html/startkit/)
11:17:25	20498/20498	---M--	200	added ('OK')	image/jpeg	etag:%22406a56f-5012-55e42cf47e080%22	http://nayrathemes.com/demo/html/startkit/assets/img/homepage/portfolio/portfolio03.jpg	C:/My%20Web%20Sites/startkit/nayrathemes.com/demo/html/startkit/assets/img/homepage/portfolio/portfolio03.jpg	(from http://nayrathemes.com/demo/html/startkit/)
